Clutch,Treatment,PercentTotSurvive1HR,PercentTotSurvive
CHS010,SUB-72,77.03349282,99.0430622
CHS056,SUB-72,0.373134328,22.3880597
CHS067,SUB-72,0,3.693181818
CHS115,SUB-72,0,93.41563786
CHS113,SUB-72,0,0
CHS133,SUB-72,14.43298969,45.36082474
CHS155,SUB-72,8.064516129,64.19354839
CHS098,SUB-84,55.50660793,80.61674009
CHS124,SUB-84,61.63265306,99.18367347
CHS136,SUB-84,96.25668449,98.39572193
CHS149,SUB-84,65.70247934,99.58677686
CHS152,SUB-84,63.10679612,99.02912621
CHS002,SUB-96,98.19494585,100
CHS003,SUB-96,96.68674699,99.69879518
CHS020,SUB-96,57.37704918,99.45355191
CHS023,SUB-96,5.020920502,92.88702929
CHS053,SUB-96,80.19169329,98.40255591
CHS135,SUB-96,90.85714286,96