,i,V2,MeanSurv,SD,SE,UpperCI,LowerCI
1,0,No,1,0,0,1,1
2,12,No,0.978834671,0.013824191,0.000437378,0.977976386,0.979692956
3,24,No,0.963334067,0.013380194,0.000423331,0.962503348,0.964164786
4,36,No,0.949049022,0.012853225,0.000406658,0.94825102,0.949847024
5,48,No,0.939709688,0.011210901,0.000354697,0.93901365,0.940405725
6,60,No,0.928230812,0.010910416,0.00034519,0.927553431,0.928908194
7,72,No,0.922554827,0.009787261,0.000309655,0.921947178,0.923162477
8,84,No,0.920095313,0.009078679,0.000287237,0.919531657,0.92065897
9,96,No,0.916205099,0.008964477,0.000283624,0.915648533,0.916761665
10,108,No,0.909638866,0.009705082,0.000307055,0.909036319,0.910241413
11,120,No,0.909638866,0.009705082,0.000307055,0.909036319,0.910241413
12,0,Yes,1,0,0,1,1
13,12,Yes,0.978271916,0.014060901,0.000444867,0.977398935,0.979144898
14,24,Yes,0.962657237,0.013577728,0.00042958,0.961814254,0.96350022
15,36,Yes,0.948260213,0.012535023,0.000396591,0.947481967,0.949038459
16,48,Yes,0.939141393,0.011105106,0.00035135,0.938451924,0.939830862
17,60,Yes,0.928224538,0.011058224,0.000349867,0.92753798,0.928911096
18,72,Yes,0.920082361,0.010489053,0.000331859,0.919431141,0.920733582
19,84,Yes,0.913271672,0.009699569,0.000306881,0.912669467,0.913873877
20,96,Yes,0.906117063,0.009147861,0.000289425,0.905549111,0.906685014
21,108,Yes,0.894841108,0.010485102,0.000331734,0.894190132,0.895492083
22,120,Yes,0.887883944,0.009748302,0.000308423,0.887278713,0.888489174