"V1","HPO","iteration"
0.939084747940535,60,"1"
0.896480087598497,72,"1"
0.788143075000798,84,"1"
0.730474065133827,96,"1"
0.72911406125396,108,"1"
0.72911406125396,120,"1"
0.942282159629278,60,"2"
0.858533867356462,72,"2"
0.800936739947127,84,"2"
0.789800005808147,96,"2"
0.750203744957934,108,"2"
0.750203744957934,120,"2"
0.936321852377849,60,"3"
0.92159095170845,72,"3"
0.845080233218069,84,"3"
0.826839779101473,96,"3"
0.75764598185794,108,"3"
0.75764598185794,120,"3"
0.942844323724043,60,"4"
0.620670529352113,72,"4"
0.60090324472402,84,"4"
0.466318465636326,96,"4"
0.321332916068615,108,"4"
0.321332916068615,120,"4"
0.947270397604443,60,"5"
0.86422738420448,72,"5"
0.851683534208551,84,"5"
0.835711692855889,96,"5"
0.788249918091573,108,"5"
0.788249918091573,120,"5"
0.94103314633877,60,"6"
0.857708785569084,72,"6"
0.807255902627626,84,"6"
0.806769986786515,96,"6"
0.805307942865594,108,"6"
0.805307942865594,120,"6"
0.95121919742506,60,"7"
0.457624089479551,72,"7"
0.389896006803678,84,"7"
0.387995614974212,96,"7"
0.358484974240155,108,"7"
0.358484974240155,120,"7"
0.922512269563507,60,"8"
0.694040177434167,72,"8"
0.689553340440089,84,"8"
0.665726273913562,96,"8"
0.645926373379438,108,"8"
0.645926373379438,120,"8"
0.946343632712262,60,"9"
0.838122638590566,72,"9"
0.775989097426503,84,"9"
0.770517746169416,96,"9"
0.762248999396774,108,"9"
0.762248999396774,120,"9"
0.938847514463356,60,"10"
0.512495475705676,72,"10"
0.487232728852174,84,"10"
0.417024844212802,96,"10"
0.410936736360486,108,"10"
0.410936736360486,120,"10"
0.950809307651594,60,"11"
0.711219192867126,72,"11"
0.702163631076605,84,"11"
0.648742444576029,96,"11"
0.627503431445509,108,"11"
0.627503431445509,120,"11"
0.928244924371364,60,"12"
0.897433638317915,72,"12"
0.834482107923874,84,"12"
0.767709764757014,96,"12"
0.761436398293906,108,"12"
0.761436398293906,120,"12"
0.934985532984603,60,"13"
0.640526297330705,72,"13"
0.640508581619693,84,"13"
0.633339996667355,96,"13"
0.616720245180126,108,"13"
0.616720245180126,120,"13"
0.923078880232526,60,"14"
0.714979754948904,72,"14"
0.711785142298629,84,"14"
0.64817662345574,96,"14"
0.645332790404118,108,"14"
0.645332790404118,120,"14"
0.94539221985219,60,"15"
0.940738548491177,72,"15"
0.788259664814789,84,"15"
0.736069283388984,96,"15"
0.73359325971797,108,"15"
0.73359325971797,120,"15"
0.952229008634342,60,"16"
0.92490084336558,72,"16"
0.908030450466168,84,"16"
0.884282856750718,96,"16"
0.629749173459318,108,"16"
0.629749173459318,120,"16"
0.921123645813437,60,"17"
0.886549473770276,72,"17"
0.850601921426733,84,"17"
0.845616507444062,96,"17"
0.842445064443904,108,"17"
0.842445064443904,120,"17"
0.925040155752096,60,"18"
0.442617808957032,72,"18"
0.439567589155494,84,"18"
0.435129319700023,96,"18"
0.414816913758923,108,"18"
0.414816913758923,120,"18"
0.949423792449757,60,"19"
0.821399418357944,72,"19"
0.648455154734555,84,"19"
0.64818793941498,96,"19"
0.558319076393558,108,"19"
0.558319076393558,120,"19"
0.930129847898847,60,"20"
0.840576386214563,72,"20"
0.827508837347756,84,"20"
0.749565088469902,96,"20"
0.72942266470558,108,"20"
0.72942266470558,120,"20"
0.938826059933053,60,"21"
0.684524173979081,72,"21"
0.676917030638111,84,"21"
0.587159220469554,96,"21"
0.580405927293775,108,"21"
0.580405927293775,120,"21"
0.936539178135106,60,"22"
0.648754624183997,72,"22"
0.644630378843934,84,"22"
0.616343206734443,96,"22"
0.596115321025104,108,"22"
0.596115321025104,120,"22"
0.94949816320301,60,"23"
0.837977328695113,72,"23"
0.768925214698834,84,"23"
0.699944602807538,96,"23"
0.699781701174811,108,"23"
0.699781701174811,120,"23"
0.944505049641477,60,"24"
0.858737351089765,72,"24"
0.833919487166021,84,"24"
0.772990997294672,96,"24"
0.772302316519596,108,"24"
0.772302316519596,120,"24"
0.919075657305308,60,"25"
0.585127143915667,72,"25"
0.562418727880132,84,"25"
0.537211679724408,96,"25"
0.514823050554335,108,"25"
0.514823050554335,120,"25"
0.950474048765842,60,"26"
0.9039960469346,72,"26"
0.849487723728641,84,"26"
0.844664509942073,96,"26"
0.810604208265872,108,"26"
0.810604208265872,120,"26"
0.924818382069003,60,"27"
0.785667701436684,72,"27"
0.74457235821203,84,"27"
0.707485615343007,96,"27"
0.68438387997962,108,"27"
0.68438387997962,120,"27"
0.944579458539374,60,"28"
0.688822334479517,72,"28"
0.674331547774829,84,"28"
0.655285219350196,96,"28"
0.642694452753395,108,"28"
0.642694452753395,120,"28"
0.9190731079916,60,"29"
0.888284268046598,72,"29"
0.8706139637233,84,"29"
0.863648751442245,96,"29"
0.784247492871224,108,"29"
0.784247492871224,120,"29"
0.945265077905729,60,"30"
0.808153553024047,72,"30"
0.806507644164951,84,"30"
0.772955540682492,96,"30"
0.758108089728207,108,"30"
0.758108089728207,120,"30"
0.947903623089194,60,"31"
0.620403991502824,72,"31"
0.616617300619904,84,"31"
0.603990247180832,96,"31"
0.583268954842799,108,"31"
0.583268954842799,120,"31"
0.952570695593487,60,"32"
0.850487897126915,72,"32"
0.81462192338562,84,"32"
0.811639615944,96,"32"
0.778077691139975,108,"32"
0.778077691139975,120,"32"
0.958145858223084,60,"33"
0.875298654425793,72,"33"
0.846286565773063,84,"33"
0.805434902522457,96,"33"
0.75227511426375,108,"33"
0.75227511426375,120,"33"
0.922768722374924,60,"34"
0.792041884365317,72,"34"
0.761868539642226,84,"34"
0.710910382137065,96,"34"
0.698522953749552,108,"34"
0.698522953749552,120,"34"
0.945227434037486,60,"35"
0.921737445012832,72,"35"
0.826533274356679,84,"35"
0.790086539789081,96,"35"
0.689577446531094,108,"35"
0.689577446531094,120,"35"
0.94726699004625,60,"36"
0.60891344180571,72,"36"
0.57937420198193,84,"36"
0.567604338179317,96,"36"
0.548231189878819,108,"36"
0.548231189878819,120,"36"
0.939527419461636,60,"37"
0.774953680688363,72,"37"
0.756412807284147,84,"37"
0.742230391898901,96,"37"
0.521697936780109,108,"37"
0.521697936780109,120,"37"
0.947120752119925,60,"38"
0.882498085458044,72,"38"
0.812390806557008,84,"38"
0.786869744775587,96,"38"
0.651934674982016,108,"38"
0.651934674982016,120,"38"
0.924851387448376,60,"39"
0.670724313511712,72,"39"
0.651380770727506,84,"39"
0.637394207577513,96,"39"
0.637314293882482,108,"39"
0.637314293882482,120,"39"
0.930833505106624,60,"40"
0.622559552301175,72,"40"
0.604069475227607,84,"40"
0.583253521085139,96,"40"
0.4761707541412,108,"40"
0.4761707541412,120,"40"
0.938611120588845,60,"41"
0.901558859426672,72,"41"
0.863928999124201,84,"41"
0.745530612432158,96,"41"
0.726153272950058,108,"41"
0.726153272950058,120,"41"
0.958166650718544,60,"42"
0.635280611940651,72,"42"
0.598476586616653,84,"42"
0.596341113268653,96,"42"
0.543219991403626,108,"42"
0.543219991403626,120,"42"
0.952943638114026,60,"43"
0.523862334060709,72,"43"
0.51960634750174,84,"43"
0.518846275723456,96,"43"
0.513916704974642,108,"43"
0.513916704974642,120,"43"
0.933336140972329,60,"44"
0.86396236019061,72,"44"
0.847560710723607,84,"44"
0.81410889714501,96,"44"
0.803804631542899,108,"44"
0.803804631542899,120,"44"
0.93516473507206,60,"45"
0.803759197251301,72,"45"
0.721652510028238,84,"45"
0.568674799160553,96,"45"
0.526468567365916,108,"45"
0.526468567365916,120,"45"
0.92716710489546,60,"46"
0.851768183488132,72,"46"
0.837641145423395,84,"46"
0.821019063649572,96,"46"
0.811642176314625,108,"46"
0.811642176314625,120,"46"
0.958643026246689,60,"47"
0.780939343058619,72,"47"
0.640493300819482,84,"47"
0.593196639878371,96,"47"
0.534337024014144,108,"47"
0.534337024014144,120,"47"
0.944746063272934,60,"48"
0.630850697329376,72,"48"
0.628465770121935,84,"48"
0.502579431147429,96,"48"
0.497862554415094,108,"48"
0.497862554415094,120,"48"
0.929367773519829,60,"49"
0.86633542115044,72,"49"
0.829517416714462,84,"49"
0.812984556247949,96,"49"
0.774295558226292,108,"49"
0.774295558226292,120,"49"
0.923924846538343,60,"50"
0.789078374830281,72,"50"
0.788387154427203,84,"50"
0.770763068183122,96,"50"
0.560617157056499,108,"50"
0.560617157056499,120,"50"
0.952061673576012,60,"51"
0.93667554900879,72,"51"
0.841376951337229,84,"51"
0.83687556723347,96,"51"
0.829422944810504,108,"51"
0.829422944810504,120,"51"
0.934311474318849,60,"52"
0.687940102358119,72,"52"
0.669181119688408,84,"52"
0.49498029866625,96,"52"
0.441171109764512,108,"52"
0.441171109764512,120,"52"
0.945623762378702,60,"53"
0.84492207324396,72,"53"
0.830340220110333,84,"53"
0.728624065901868,96,"53"
0.692582959452037,108,"53"
0.692582959452037,120,"53"
0.954659737400245,60,"54"
0.847296320460517,72,"54"
0.845272794056479,84,"54"
0.767736208054142,96,"54"
0.700208468607726,108,"54"
0.700208468607726,120,"54"
0.926452978284331,60,"55"
0.921594930478349,72,"55"
0.885852048452572,84,"55"
0.804158213157379,96,"55"
0.694242948203859,108,"55"
0.694242948203859,120,"55"
0.933006188036641,60,"56"
0.84774597073702,72,"56"
0.829336542463418,84,"56"
0.820968835481257,96,"56"
0.785059623965738,108,"56"
0.785059623965738,120,"56"
0.936604916785378,60,"57"
0.908656079304224,72,"57"
0.873747907432724,84,"57"
0.869597315072515,96,"57"
0.856804679969763,108,"57"
0.856804679969763,120,"57"
0.93091784914257,60,"58"
0.885194427271288,72,"58"
0.83978069595302,84,"58"
0.751385189669268,96,"58"
0.738781453336374,108,"58"
0.738781453336374,120,"58"
0.940785080753732,60,"59"
0.638633628457448,72,"59"
0.564980606489723,84,"59"
0.483795511422407,96,"59"
0.467579303259418,108,"59"
0.467579303259418,120,"59"
0.945306812541792,60,"60"
0.852106110735392,72,"60"
0.84987376644407,84,"60"
0.81389447829102,96,"60"
0.721780722137141,108,"60"
0.721780722137141,120,"60"
0.940119994198903,60,"61"
0.939734811527364,72,"61"
0.823609525800189,84,"61"
0.809109203713248,96,"61"
0.776841863001948,108,"61"
0.776841863001948,120,"61"
0.956487384441541,60,"62"
0.872862148148819,72,"62"
0.866257578827242,84,"62"
0.827399165039213,96,"62"
0.794736579132601,108,"62"
0.794736579132601,120,"62"
0.923705485228682,60,"63"
0.496617010580983,72,"63"
0.457676183840699,84,"63"
0.396765667903386,96,"63"
0.396705461558946,108,"63"
0.396705461558946,120,"63"
0.927296133890515,60,"64"
0.778578648611647,72,"64"
0.765708916167957,84,"64"
0.754950209276088,96,"64"
0.55565494372883,108,"64"
0.55565494372883,120,"64"
0.934154153771466,60,"65"
0.860777495395884,72,"65"
0.832898092690177,84,"65"
0.832504194843459,96,"65"
0.826973736544898,108,"65"
0.826973736544898,120,"65"
0.941086725787958,60,"66"
0.784506917208567,72,"66"
0.643713952713458,84,"66"
0.58316732529101,96,"66"
0.508731183645757,108,"66"
0.508731183645757,120,"66"
0.958670783703914,60,"67"
0.889812324671316,72,"67"
0.860483696008859,84,"67"
0.849741591655005,96,"67"
0.793246719713469,108,"67"
0.793246719713469,120,"67"
0.935137690739473,60,"68"
0.528695969852079,72,"68"
0.522356160590194,84,"68"
0.518238392665086,96,"68"
0.493805322920032,108,"68"
0.493805322920032,120,"68"
0.950580002964241,60,"69"
0.89737116469907,72,"69"
0.877591520518322,84,"69"
0.849180613528989,96,"69"
0.822065485157718,108,"69"
0.822065485157718,120,"69"
0.954616715667769,60,"70"
0.911540010830829,72,"70"
0.839889947657237,84,"70"
0.821426340706366,96,"70"
0.788061701918434,108,"70"
0.788061701918434,120,"70"
0.939498205559794,60,"71"
0.783600366110632,72,"71"
0.774489077150415,84,"71"
0.751995485169275,96,"71"
0.646541685577582,108,"71"
0.646541685577582,120,"71"
0.918948626629077,60,"72"
0.815808368650142,72,"72"
0.809807919498016,84,"72"
0.702656344666334,96,"72"
0.699319568355214,108,"72"
0.699319568355214,120,"72"
0.933940836125286,60,"73"
0.874719288052871,72,"73"
0.802435718658422,84,"73"
0.700634593608447,96,"73"
0.695853679783537,108,"73"
0.695853679783537,120,"73"
0.924395307203755,60,"74"
0.668779964362598,72,"74"
0.595965234107135,84,"74"
0.532994173506145,96,"74"
0.479250579108674,108,"74"
0.479250579108674,120,"74"
0.942725049816305,60,"75"
0.535713947097518,72,"75"
0.459126823316897,84,"75"
0.453766291727064,96,"75"
0.453702415329246,108,"75"
0.453702415329246,120,"75"
0.938568211378064,60,"76"
0.789689176715697,72,"76"
0.669041375708447,84,"76"
0.645247678492248,96,"76"
0.601906110883986,108,"76"
0.601906110883986,120,"76"
0.94553141891025,60,"77"
0.741158219324157,72,"77"
0.684866841204885,84,"77"
0.666032633622899,96,"77"
0.625228050372587,108,"77"
0.625228050372587,120,"77"
0.95354056740785,60,"78"
0.877352377085757,72,"78"
0.828284529709868,84,"78"
0.807940677688155,96,"78"
0.800051309192772,108,"78"
0.800051309192772,120,"78"
0.920334867850645,60,"79"
0.806930025109725,72,"79"
0.702652146010631,84,"79"
0.695477189887376,96,"79"
0.673996833048201,108,"79"
0.673996833048201,120,"79"
0.933368323628791,60,"80"
0.88136242068245,72,"80"
0.771433819767931,84,"80"
0.750930343831949,96,"80"
0.71234785415483,108,"80"
0.71234785415483,120,"80"
0.942011418154463,60,"81"
0.639737257086585,72,"81"
0.638913745061152,84,"81"
0.623408342378503,96,"81"
0.592395221562949,108,"81"
0.592395221562949,120,"81"
0.945379089574562,60,"82"
0.839363322599789,72,"82"
0.738966779515653,84,"82"
0.715183911761066,96,"82"
0.608184958848014,108,"82"
0.608184958848014,120,"82"
0.93702627111692,60,"83"
0.859632557610976,72,"83"
0.803472607517558,84,"83"
0.753010478401685,96,"83"
0.744375728892121,108,"83"
0.744375728892121,120,"83"
0.941312496629311,60,"84"
0.77566275951145,72,"84"
0.756700981070979,84,"84"
0.751096927274161,96,"84"
0.745557412109647,108,"84"
0.745557412109647,120,"84"
0.921819429856492,60,"85"
0.709024027677394,72,"85"
0.705349495745357,84,"85"
0.696017261331442,96,"85"
0.643844355992014,108,"85"
0.643844355992014,120,"85"
0.937826773592038,60,"86"
0.648919689165128,72,"86"
0.643104450184672,84,"86"
0.598496722327278,96,"86"
0.542594211131147,108,"86"
0.542594211131147,120,"86"
0.957585019799881,60,"87"
0.647345061048261,72,"87"
0.613680282868515,84,"87"
0.571715388950821,96,"87"
0.562720251733436,108,"87"
0.562720251733436,120,"87"
0.949030642678728,60,"88"
0.8395588659762,72,"88"
0.784198792770276,84,"88"
0.71573050952599,96,"88"
0.698610674819487,108,"88"
0.698610674819487,120,"88"
0.933778626395622,60,"89"
0.763925714896197,72,"89"
0.756841257197506,84,"89"
0.683500325725201,96,"89"
0.668884580214431,108,"89"
0.668884580214431,120,"89"
0.921545397470007,60,"90"
0.870232905918138,72,"90"
0.857771934374015,84,"90"
0.807058767984336,96,"90"
0.77812374741517,108,"90"
0.77812374741517,120,"90"
0.956799394857371,60,"91"
0.955517859720722,72,"91"
0.835872047175973,84,"91"
0.816599620867262,96,"91"
0.746769130147741,108,"91"
0.746769130147741,120,"91"
0.960432677507866,60,"92"
0.673141450726056,72,"92"
0.657503872609464,84,"92"
0.63216670104302,96,"92"
0.527442130968202,108,"92"
0.527442130968202,120,"92"
0.932529627471929,60,"93"
0.918317053259245,72,"93"
0.856615949010368,84,"93"
0.846157107441699,96,"93"
0.839060434106378,108,"93"
0.839060434106378,120,"93"
0.929076759127667,60,"94"
0.916435571638501,72,"94"
0.825599792162013,84,"94"
0.798737770192719,96,"94"
0.758091236324304,108,"94"
0.758091236324304,120,"94"
0.936855026432779,60,"95"
0.852380583305208,72,"95"
0.79595289465102,84,"95"
0.767906557332209,96,"95"
0.75506379413476,108,"95"
0.75506379413476,120,"95"
0.956476524120662,60,"96"
0.946321376828046,72,"96"
0.941221175336776,84,"96"
0.871344916212162,96,"96"
0.817427474164736,108,"96"
0.817427474164736,120,"96"
0.952841186194681,60,"97"
0.656154969983587,72,"97"
0.650995772725835,84,"97"
0.542239046205072,96,"97"
0.467333306552386,108,"97"
0.467333306552386,120,"97"
0.953362094623968,60,"98"
0.663212114676142,72,"98"
0.652894972874154,84,"98"
0.586025110012834,96,"98"
0.490794322092101,108,"98"
0.490794322092101,120,"98"
0.957155556958169,60,"99"
0.923773912640747,72,"99"
0.887608704357492,84,"99"
0.868735359507885,96,"99"
0.839393769128171,108,"99"
0.839393769128171,120,"99"
0.920852019493002,60,"100"
0.849646775857688,72,"100"
0.815849298412204,84,"100"
0.744327463729534,96,"100"
0.726711823729008,108,"100"
0.726711823729008,120,"100"
